y_true,mu_pred,sigma2,sigma
-0.019881064,0.0022669542,4.857255e-06,0.002203918
0.008646084,0.0033137568,1.3898873e-05,0.0037281192
0.018576238,0.0031601645,9.274327e-06,0.003045378
0.00088686706,0.002706534,1.0298747e-05,0.003209166
-0.0058547216,0.0020607198,1.0637405e-05,0.0032615035
0.016029276,0.0041984497,1.2885512e-05,0.0035896394
-0.003526872,0.0028280187,6.827701e-06,0.002612987
0.0037622864,0.0031437639,7.123967e-06,0.002669076
0.002884417,0.002924418,6.5451836e-06,0.0025583557
-0.0042869593,0.0026765773,9.598438e-06,0.0030981346
-0.016701566,0.0032707455,1.0886071e-05,0.0032994046
-0.012838669,0.0031698293,6.3039397e-06,0.0025107649
0.014384429,0.0026804495,4.218686e-06,0.0020539442
-0.010551741,0.0032355431,1.1847454e-05,0.003442013
-0.021050604,0.003441786,9.200668e-06,0.00303326
-0.0053129247,0.0030200384,1.3387715e-05,0.0036589226
-0.0131669445,0.0032478126,9.474056e-06,0.0030779955
0.034792513,0.0030194265,5.204388e-06,0.0022813128
0.011104117,0.0029443458,1.3420478e-05,0.0036633972
-0.002570133,0.003513714,6.1548494e-06,0.002480897
-0.006900731,0.0033813382,1.0213525e-05,0.0031958604
-0.017665278,0.0027227942,1.0613149e-05,0.003257783
-0.0030011022,0.0038727773,1.4620042e-05,0.0038236163
-0.0061878557,0.0027233104,4.9927316e-06,0.0022344422
-0.012606476,0.0028166163,1.4817351e-05,0.0038493313
0.024003867,0.0034597232,1.7134718e-05,0.0041394103
0.0028179334,0.0029827284,9.5145215e-06,0.0030845618
0.020513833,0.0035458491,9.2189275e-06,0.0030362688
-0.0031995482,0.0028375862,8.135923e-06,0.002852354
-0.009051437,0.0035952935,7.695097e-06,0.002774004
-0.024893664,0.0026622405,9.097979e-06,0.0030162856
-7.9504374e-05,0.0032198376,7.511561e-06,0.0027407226
0.030561429,0.0032102114,7.790609e-06,0.0027911663
0.0068487125,0.0033311031,7.784588e-06,0.0027900874
0.0016502487,0.0046737706,1.7827484e-05,0.0042222603
-0.012814406,0.0028720018,6.003307e-06,0.0024501646
-0.0105747,0.0027070832,5.00079e-06,0.0022362447
0.020272033,0.0023498219,1.0765616e-05,0.0032810997
0.052263405,0.003469844,8.974862e-06,0.0029958074
0.014234726,0.0028258848,5.8202804e-06,0.0024125257
0.005876119,0.0034316957,9.9158715e-06,0.0031489476
0.0,0.0038342802,1.618395e-05,0.004022928
0.0,0.003327179,6.8120335e-06,0.0026099873
0.0,0.0031153073,2.2996222e-05,0.0047954377
-0.01378919,0.0033959725,7.3322803e-06,0.0027078183
-0.01369905,0.0025505207,1.6929609e-05,0.004114561
-0.0018449685,0.0032827344,1.3090171e-05,0.003618034
-0.0006193011,0.0022916982,2.5435682e-05,0.00504338
0.017577665,0.0025555012,5.535805e-06,0.002352829
-0.005015837,0.0027948078,8.6215005e-06,0.0029362391
0.0,0.003202213,1.3866503e-05,0.0037237753
0.007961899,0.0033011117,9.589865e-06,0.0030967507
-0.00054528116,0.0017401907,1.3216899e-05,0.0036355052
0.020252917,0.003493956,8.119606e-06,0.0028494922
0.016721739,0.003044507,1.41515375e-05,0.0037618529
-0.0036863005,0.0036891517,1.2045324e-05,0.0034706374
0.0,0.00341789,1.0360649e-05,0.003218796
0.016095702,0.003569563,1.0336365e-05,0.003215022
0.006658319,0.003603109,1.1416033e-05,0.003378762
-0.0009541311,0.0031180948,6.541398e-06,0.0025576157
0.006736786,0.003290222,9.878032e-06,0.0031429336
-0.008618337,0.0036119716,1.2101132e-05,0.0034786682
0.0020276387,0.0028983685,9.1188485e-06,0.0030197431
-0.0048811324,0.0031721415,8.22649e-06,0.0028681858
-0.016040068,0.004088713,8.056324e-06,0.0028383664
0.011607099,0.0042463057,2.0213081e-05,0.004495896
-0.001455918,0.0035450342,1.0102032e-05,0.0031783695
0.015763149,0.0032479505,9.202724e-06,0.0030335991
0.030874953,0.0035277975,1.6330021e-05,0.004041042
0.008979119,0.0032358244,5.9562044e-06,0.0024405336
0.014393663,0.0037203855,1.2754412e-05,0.003571332
0.00036706534,0.0035748314,9.38414e-06,0.0030633544
-0.009847153,0.004552001,1.5492402e-05,0.003936039
-0.0107876,0.0038317523,6.8378313e-06,0.0026149247
-0.0018468719,0.004026879,1.2037696e-05,0.0034695384
0.0019217808,0.003147633,1.0299061e-05,0.003209215
-0.018746372,0.004807101,2.2870367e-05,0.004782297
0.00020034068,0.0033604542,6.454256e-06,0.0025405227
-0.007738764,0.0029449123,7.460451e-06,0.0027313826
0.014916287,0.0040848637,7.740818e-06,0.0027822326
-0.01837407,0.0036631813,7.928744e-06,0.0028158026
-0.0013129896,0.0050488175,1.0788313e-05,0.0032845568
-0.0069120745,0.0036183046,9.515531e-06,0.0030847255
-0.013781699,0.0031498657,1.2506485e-05,0.003536451
-0.014014241,0.0038334883,7.797076e-06,0.0027923246
0.005336788,0.0041502626,1.7293947e-05,0.0041585993
0.011287727,0.0031566336,1.5828842e-05,0.0039785476
0.02202708,0.004419034,1.9693653e-05,0.004437753
0.0076114153,0.0035837058,1.6654762e-05,0.004081025
0.0,0.0031031708,5.6784997e-06,0.0023829604
0.0,0.0033604472,1.81115e-05,0.004255761
0.025327694,0.0043824534,1.3717917e-05,0.0037037707
0.00292862,0.0042700726,1.0240225e-05,0.003200035
-0.0003248984,0.003309005,1.4073568e-05,0.0037514756
-0.008196732,0.0035856953,1.0717231e-05,0.0032737183
-0.018265031,0.0041147275,1.2207369e-05,0.0034939046
0.018349335,0.0045285886,2.041781e-05,0.004518607
-0.0030944264,0.003996523,1.6233877e-05,0.0040291287
-0.029023746,0.0040043383,1.7127388e-05,0.0041385246
0.009899305,0.0039906693,1.857921e-05,0.0043103606
0.022340555,0.003436067,1.6361335e-05,0.0040449146
0.017667007,0.0031611503,1.1476731e-05,0.0033877324
-0.0019148904,0.0038688264,7.64177e-06,0.0027643752
0.0011327987,0.003581614,1.0214642e-05,0.0031960355
-0.006232539,0.004327797,2.429576e-05,0.0049290727
-0.004948883,0.0035294702,4.901105e-06,0.0022138439
0.025819581,0.0043389737,2.1552993e-05,0.00464252
0.0036760813,0.0041020913,1.2736116e-05,0.0035687697
0.0,0.0046884962,1.0701637e-05,0.0032713355
0.006701355,0.003528731,7.5649737e-06,0.0027504498
-0.00046685702,0.0036453328,1.34943e-05,0.003673459
0.00048482892,0.0042443895,1.3079285e-05,0.0036165295
0.0014980725,0.0031362881,1.0817e-05,0.0032889207
0.0014868289,0.0036404738,6.3652724e-06,0.0025229491
-0.007483473,0.003848688,9.524995e-06,0.0030862591
-0.008867453,0.0030576787,7.5942366e-06,0.0027557642
-0.010986592,0.003972815,1.6032445e-05,0.004004054
0.0018288464,0.0034429878,1.3301728e-05,0.0036471535
-0.014575887,0.0028805023,5.3092167e-06,0.0023041738
-0.003929886,0.003211976,8.513434e-06,0.002917779
-0.0049789245,0.004643131,1.3591601e-05,0.0036866788
0.014881285,0.004317458,1.8463197e-05,0.004296882
-0.030521877,0.0033145086,1.5111618e-05,0.0038873665
-0.056980364,0.002798844,2.2053497e-05,0.004696115
-0.0012339326,0.0035128838,1.2527474e-05,0.0035394172
0.014378221,0.003242196,1.846859e-05,0.00429751
